wo_id,description,asset_tag,asset_class,area,install_date,age_days,task_type,priority,mandatory,estimated_cost_usd,mech_hours,elec_hours,inst_hours,civil_hours,total_craft_hours,duration_days,weibull_beta,weibull_eta,c_safety,c_env,c_prod,c_cost,replace_usd,predecessor_wo_id
WO-00001,Overhaul – Electrical Equipment ELEC-0024,ELEC-0024,ELEC,Unit-200,2018-08-23,2961,Overhaul,Medium,False,432608.5,239.5,22.7,8.5,6.5,277.2,35,2.0,1460,3,1,3,3,24000,
WO-00002,Replacement – Control Valve VLV-0026,VLV-0026,VLV,Tank-Farm,2014-10-09,4375,Replacement,Low,False,113098.0,40.6,11.4,20.0,3.3,75.3,9,1.5,1095,3,2,3,2,13500,
WO-00003,Inspection – Piping/Pipeline Segment PPL-0012,PPL-0012,PPL,Utilities,2022-12-31,1370,Inspection,Medium,False,5185.61,9.5,1.6,4.4,0.4,15.9,2,2.0,3285,4,4,3,3,88000,
WO-00004,Cleaning – Pressure Vessel VSL-0019,VSL-0019,VSL,Unit-200,2014-01-16,4641,Cleaning,Medium,False,15844.97,5.4,0.4,1.1,2.5,9.4,1,2.8,3650,5,5,5,5,290000,
WO-00005,Repair – Instrument/Analyser INST-0114,INST-0114,INST,Offsites,2019-08-06,2613,Repair,Low,False,73788.26,17.4,28.4,3.2,5.3,54.3,7,1.8,730,2,1,3,2,4800,
WO-00006,Inspection – Instrument/Analyser INST-0142,INST-0142,INST,Offsites,2013-03-22,4941,Inspection,High,False,734.91,2.2,1.0,4.2,0.1,7.5,1,1.8,730,2,1,3,2,4800,
WO-00007,Cleaning – Instrument/Analyser INST-0121,INST-0121,INST,Unit-100,2014-11-16,4337,Cleaning,Medium,False,6623.09,21.5,1.9,1.5,9.0,33.9,4,1.8,730,2,1,3,2,4800,
WO-00008,Repair – Instrument/Analyser INST-0082,INST-0082,INST,Tank-Farm,2022-05-05,1610,Repair,Medium,False,16266.45,14.3,21.1,2.9,9.0,47.300000000000004,6,1.8,730,2,1,3,2,4800,
WO-00009,Testing – Instrument/Analyser INST-0007,INST-0007,INST,Unit-100,2017-02-16,3514,Testing,Medium,False,5051.36,10.8,18.8,8.9,1.1,39.6,5,1.8,730,2,1,3,2,4800,
WO-00010,Testing – Instrument/Analyser INST-0111,INST-0111,INST,Flare-System,2014-10-23,4361,Testing,Medium,False,11298.2,4.1,13.5,15.8,0.3,33.7,4,1.8,730,2,1,3,2,4800,
WO-00011,Replacement – Storage Tank TNK-0006,TNK-0006,TNK,Unit-100,2013-04-21,4911,Replacement,Medium,False,18665.17,34.6,5.0,15.8,2.5,57.900000000000006,7,3.5,5475,4,5,3,4,390000,
WO-00012,Inspection – Control Valve VLV-0110,VLV-0110,VLV,Utilities,2024-07-10,813,Inspection,Medium,False,7232.51,2.2,1.0,2.3,0.2,5.7,1,1.5,1095,3,2,3,2,13500,
WO-00013,Repair – Instrument/Analyser INST-0026,INST-0026,INST,Unit-300,2017-03-15,3487,Repair,High,False,73391.62,35.9,8.0,15.0,6.2,65.1,8,1.8,730,2,1,3,2,4800,
WO-00014,Calibration – Heat Exchanger HX-0033,HX-0033,HX,Unit-200,2021-04-25,1985,Calibration,Medium,False,1653.01,1.3,4.9,11.0,0.2,17.4,2,2.0,2190,4,3,5,4,195000,
WO-00015,Inspection – Control Valve VLV-0089,VLV-0089,VLV,Unit-200,2016-01-12,3915,Inspection,Medium,False,6359.44,8.4,1.5,1.1,0.3,11.3,1,1.5,1095,3,2,3,2,13500,
WO-00016,Cleaning – Electrical Equipment ELEC-0008,ELEC-0008,ELEC,Flare-System,2018-07-30,2985,Cleaning,Critical,False,23061.33,13.0,1.8,0.3,5.0,20.1,3,2.0,1460,3,1,3,3,24000,
WO-00017,Calibration – Instrument/Analyser INST-0106,INST-0106,INST,Offsites,2016-11-19,3603,Calibration,Critical,False,621.83,0.5,8.2,12.6,0.0,21.299999999999997,3,1.8,730,2,1,3,2,4800,
WO-00018,Overhaul – Reciprocating Compressor CMP-0017,CMP-0017,CMP,Offsites,2013-07-07,4834,Overhaul,Critical,False,193398.98,76.1,33.8,17.6,15.8,143.3,18,3.0,1460,5,4,5,5,490000,
WO-00019,Inspection – Instrument/Analyser INST-0048,INST-0048,INST,Flare-System,2024-09-28,733,Inspection,Low,False,1621.98,3.9,0.1,2.2,0.9,7.1000000000000005,1,1.8,730,2,1,3,2,4800,
WO-00020,Replacement – Electrical Equipment ELEC-0033,ELEC-0033,ELEC,Flare-System,2025-01-26,613,Replacement,High,False,71220.87,37.5,16.9,8.7,3.7,66.8,8,2.0,1460,3,1,3,3,24000,WO-00015
WO-00021,Inspection – Centrifugal Pump PMP-0078,PMP-0078,PMP,Tank-Farm,2015-02-20,4241,Inspection,Critical,False,2928.69,9.0,1.8,1.4,0.5,12.700000000000001,2,2.5,1825,3,2,4,3,48000,
WO-00022,Overhaul – Centrifugal Pump PMP-0039,PMP-0039,PMP,Unit-100,2017-10-17,3271,Overhaul,High,False,339510.92,44.1,43.4,48.9,17.1,153.5,19,2.5,1825,3,2,4,3,48000,
WO-00023,Cleaning – Control Valve VLV-0112,VLV-0112,VLV,Unit-200,2014-12-02,4321,Cleaning,Medium,False,9022.56,7.6,1.2,0.1,8.6,17.5,2,1.5,1095,3,2,3,2,13500,
WO-00024,Overhaul – Instrument/Analyser INST-0117,INST-0117,INST,Flare-System,2021-09-20,1837,Overhaul,Medium,False,206394.95,233.9,15.3,14.4,7.3,270.90000000000003,34,1.8,730,2,1,3,2,4800,
WO-00025,Testing – Control Valve VLV-0063,VLV-0063,VLV,Flare-System,2024-05-13,871,Testing,Medium,False,3914.39,18.3,9.6,17.0,0.1,45.0,6,1.5,1095,3,2,3,2,13500,
WO-00026,Cleaning – Electrical Equipment ELEC-0039,ELEC-0039,ELEC,Unit-200,2025-04-25,524,Cleaning,Medium,False,13871.67,9.7,1.7,1.9,5.7,19.0,2,2.0,1460,3,1,3,3,24000,
WO-00027,Calibration – Electrical Equipment ELEC-0055,ELEC-0055,ELEC,Unit-200,2019-12-17,2480,Calibration,High,False,876.17,1.7,4.2,16.4,0.1,22.4,3,2.0,1460,3,1,3,3,24000,
WO-00028,Cleaning – Instrument/Analyser INST-0039,INST-0039,INST,Utilities,2016-12-29,3563,Cleaning,High,False,13598.13,24.4,2.0,0.2,4.2,30.799999999999997,4,1.8,730,2,1,3,2,4800,
WO-00029,Overhaul – Control Valve VLV-0104,VLV-0104,VLV,Offsites,2019-03-26,2746,Overhaul,Medium,False,303937.2,211.2,40.4,8.8,13.1,273.5,34,1.5,1095,3,2,3,2,13500,
WO-00030,Overhaul – Centrifugal Pump PMP-0026,PMP-0026,PMP,Utilities,2022-07-30,1524,Overhaul,Critical,False,91427.47,119.5,25.3,15.9,19.1,179.8,22,2.5,1825,3,2,4,3,48000,
WO-00031,Cleaning – Electrical Equipment ELEC-0039,ELEC-0039,ELEC,Unit-200,2025-04-25,524,Cleaning,Medium,False,13377.52,25.1,0.2,0.2,4.4,29.9,4,2.0,1460,3,1,3,3,24000,
WO-00032,Replacement – Electrical Equipment ELEC-0085,ELEC-0085,ELEC,Utilities,2015-02-21,4240,Replacement,Low,False,92766.51,20.8,3.5,12.3,8.0,44.6,6,2.0,1460,3,1,3,3,24000,
WO-00033,Calibration – Pressure Vessel VSL-0023,VSL-0023,VSL,Unit-100,2013-03-15,4948,Calibration,Medium,False,1762.08,1.4,7.5,7.7,0.6,17.200000000000003,2,2.8,3650,5,5,5,5,290000,
WO-00034,Replacement – Instrument/Analyser INST-0029,INST-0029,INST,Unit-200,2017-07-09,3371,Replacement,Low,False,80206.91,33.0,11.1,5.8,7.0,56.9,7,1.8,730,2,1,3,2,4800,
WO-00035,Inspection – Instrument/Analyser INST-0177,INST-0177,INST,Flare-System,2021-10-15,1812,Inspection,High,False,3309.18,2.4,0.1,5.0,0.5,8.0,1,1.8,730,2,1,3,2,4800,
WO-00036,Replacement – Instrument/Analyser INST-0141,INST-0141,INST,Unit-100,2020-02-20,2415,Replacement,Medium,False,117701.45,21.1,15.1,9.7,1.6,47.50000000000001,6,1.8,730,2,1,3,2,4800,
WO-00037,Inspection – Heat Exchanger HX-0005,HX-0005,HX,Offsites,2021-02-19,2050,Inspection,Critical,False,5600.54,4.0,1.5,4.1,0.7,10.299999999999999,1,2.0,2190,4,3,5,4,195000,
WO-00038,Calibration – Instrument/Analyser INST-0126,INST-0126,INST,Unit-200,2024-07-25,798,Calibration,Medium,False,2972.41,0.5,4.2,17.0,0.2,21.9,3,1.8,730,2,1,3,2,4800,
WO-00039,Calibration – Storage Tank TNK-0019,TNK-0019,TNK,Tank-Farm,2024-04-15,899,Calibration,Critical,False,304.05,1.1,6.6,8.9,0.9,17.5,2,3.5,5475,4,5,3,4,390000,
WO-00040,Replacement – Instrument/Analyser INST-0175,INST-0175,INST,Unit-200,2021-03-29,2012,Replacement,Critical,False,102596.9,17.9,16.8,5.6,5.4,45.7,6,1.8,730,2,1,3,2,4800,WO-00037
WO-00041,Calibration – Instrument/Analyser INST-0007,INST-0007,INST,Unit-100,2017-02-16,3514,Calibration,Medium,False,2413.68,1.7,9.9,14.8,0.8,27.2,3,1.8,730,2,1,3,2,4800,
WO-00042,Repair – Instrument/Analyser INST-0033,INST-0033,INST,Unit-200,2017-09-28,3290,Repair,High,False,52213.15,89.3,10.1,10.9,7.6,117.89999999999999,15,1.8,730,2,1,3,2,4800,
WO-00043,Replacement – Control Valve VLV-0029,VLV-0029,VLV,Tank-Farm,2022-07-01,1553,Replacement,Medium,False,117474.92,30.6,5.3,10.6,4.6,51.1,6,1.5,1095,3,2,3,2,13500,
WO-00044,Testing – Instrument/Analyser INST-0119,INST-0119,INST,Tank-Farm,2020-11-26,2135,Testing,High,False,14805.56,13.7,18.0,10.4,1.7,43.800000000000004,5,1.8,730,2,1,3,2,4800,
WO-00045,Inspection – Control Valve VLV-0018,VLV-0018,VLV,Utilities,2012-10-24,5090,Inspection,High,False,7802.09,8.9,0.6,3.7,0.5,13.7,2,1.5,1095,3,2,3,2,13500,
WO-00046,Replacement – Control Valve VLV-0080,VLV-0080,VLV,Tank-Farm,2021-08-06,1882,Replacement,Low,False,20643.16,36.6,10.0,14.2,2.9,63.699999999999996,8,1.5,1095,3,2,3,2,13500,
WO-00047,Cleaning – Control Valve VLV-0033,VLV-0033,VLV,Unit-300,2020-07-07,2277,Cleaning,High,False,22590.42,6.6,1.2,1.7,4.6,14.1,2,1.5,1095,3,2,3,2,13500,
WO-00048,Replacement – Control Valve VLV-0076,VLV-0076,VLV,Unit-300,2022-07-01,1553,Replacement,Critical,False,36387.38,31.3,7.9,9.4,6.8,55.4,7,1.5,1095,3,2,3,2,13500,WO-00019
WO-00049,Replacement – Control Valve VLV-0096,VLV-0096,VLV,Unit-300,2014-07-19,4457,Replacement,Medium,False,84321.48,17.1,6.0,8.0,1.0,32.1,4,1.5,1095,3,2,3,2,13500,
WO-00050,Inspection – Centrifugal Pump PMP-0052,PMP-0052,PMP,Unit-300,2016-06-28,3747,Inspection,High,False,2619.75,10.0,1.8,1.9,0.3,14.000000000000002,2,2.5,1825,3,2,4,3,48000,
WO-00051,Repair – Instrument/Analyser INST-0155,INST-0155,INST,Unit-100,2017-09-16,3302,Repair,Low,False,64606.38,19.6,7.2,9.5,8.8,45.099999999999994,6,1.8,730,2,1,3,2,4800,
WO-00052,Inspection – Pressure Vessel VSL-0022,VSL-0022,VSL,Offsites,2016-08-27,3687,Inspection,Critical,False,4849.8,3.2,1.4,4.7,0.5,9.8,1,2.8,3650,5,5,5,5,290000,
WO-00053,Cleaning – Piping/Pipeline Segment PPL-0014,PPL-0014,PPL,Unit-300,2023-12-02,1034,Cleaning,Critical,False,10804.4,23.5,0.7,1.7,4.2,30.099999999999998,4,2.0,3285,4,4,3,3,88000,
WO-00054,Replacement – Heat Exchanger HX-0033,HX-0033,HX,Unit-200,2021-04-25,1985,Replacement,Critical,False,9015.32,22.6,13.9,6.8,2.0,45.3,6,2.0,2190,4,3,5,4,195000,
WO-00055,Inspection – Instrument/Analyser INST-0124,INST-0124,INST,Unit-200,2012-01-26,5362,Inspection,Low,False,7072.3,9.6,0.1,4.0,0.7,14.399999999999999,2,1.8,730,2,1,3,2,4800,
WO-00056,Replacement – Heat Exchanger HX-0032,HX-0032,HX,Tank-Farm,2014-06-11,4495,Replacement,Critical,False,37833.53,31.6,17.4,18.6,5.2,72.8,9,2.0,2190,4,3,5,4,195000,
WO-00057,Calibration – Instrument/Analyser INST-0048,INST-0048,INST,Flare-System,2024-09-28,733,Calibration,Medium,False,2592.68,0.8,7.3,10.4,0.5,19.0,2,1.8,730,2,1,3,2,4800,
WO-00058,Calibration – Instrument/Analyser INST-0013,INST-0013,INST,Utilities,2014-10-13,4371,Calibration,High,False,2937.02,0.9,4.7,10.0,0.1,15.700000000000001,2,1.8,730,2,1,3,2,4800,
WO-00059,Inspection – Pressure Vessel VSL-0027,VSL-0027,VSL,Unit-200,2013-01-04,5018,Inspection,High,False,3766.42,3.3,0.7,4.2,0.2,8.399999999999999,1,2.8,3650,5,5,5,5,290000,
WO-00060,Repair – Instrument/Analyser INST-0115,INST-0115,INST,Utilities,2016-08-07,3707,Repair,High,False,46220.48,25.8,13.0,12.6,5.6,57.0,7,1.8,730,2,1,3,2,4800,
WO-00061,Overhaul – Electrical Equipment ELEC-0043,ELEC-0043,ELEC,Offsites,2013-11-13,4705,Overhaul,Low,False,332694.02,93.5,33.7,10.9,10.7,148.79999999999998,19,2.0,1460,3,1,3,3,24000,
WO-00062,Replacement – Control Valve VLV-0065,VLV-0065,VLV,Flare-System,2012-01-18,5370,Replacement,High,False,74595.34,29.3,7.7,22.3,4.1,63.4,8,1.5,1095,3,2,3,2,13500,
WO-00063,Repair – Electrical Equipment ELEC-0057,ELEC-0057,ELEC,Unit-100,2025-05-02,517,Repair,High,False,60183.66,70.7,5.3,4.4,6.7,87.10000000000001,11,2.0,1460,3,1,3,3,24000,WO-00046
WO-00064,Replacement – Reciprocating Compressor CMP-0001,CMP-0001,CMP,Unit-200,2012-08-27,5148,Replacement,High,False,94600.93,22.9,3.3,4.7,5.0,35.9,4,3.0,1460,5,4,5,5,490000,
WO-00065,Repair – Control Valve VLV-0050,VLV-0050,VLV,Utilities,2017-06-25,3385,Repair,Low,False,10642.74,26.1,17.8,8.6,5.3,57.800000000000004,7,1.5,1095,3,2,3,2,13500,
WO-00066,Cleaning – Control Valve VLV-0061,VLV-0061,VLV,Unit-100,2014-02-03,4623,Cleaning,Medium,False,10962.89,27.7,0.1,1.9,6.0,35.7,4,1.5,1095,3,2,3,2,13500,
WO-00067,Testing – Piping/Pipeline Segment PPL-0016,PPL-0016,PPL,Offsites,2021-01-01,2099,Testing,Critical,False,7856.2,9.9,9.4,17.2,1.1,37.6,5,2.0,3285,4,4,3,3,88000,
WO-00068,Calibration – Centrifugal Pump PMP-0074,PMP-0074,PMP,Flare-System,2019-05-17,2694,Calibration,Critical,False,2003.44,0.8,2.0,11.1,0.0,13.899999999999999,2,2.5,1825,3,2,4,3,48000,
WO-00069,Overhaul – Control Valve VLV-0114,VLV-0114,VLV,Tank-Farm,2013-03-08,4955,Overhaul,Low,False,62923.13,95.1,35.5,21.0,24.0,175.6,22,1.5,1095,3,2,3,2,13500,
WO-00070,Cleaning – Pressure Vessel VSL-0012,VSL-0012,VSL,Utilities,2014-03-16,4582,Cleaning,High,False,24206.73,24.8,0.6,1.5,3.1,30.000000000000004,4,2.8,3650,5,5,5,5,290000,WO-00029
WO-00071,Overhaul – Electrical Equipment ELEC-0026,ELEC-0026,ELEC,Utilities,2019-09-19,2569,Overhaul,High,False,24843.17,94.8,48.1,21.3,7.6,171.8,21,2.0,1460,3,1,3,3,24000,
WO-00072,Overhaul – Instrument/Analyser INST-0010,INST-0010,INST,Unit-300,2023-05-01,1249,Overhaul,Medium,False,507949.81,191.6,26.3,16.8,4.9,239.60000000000002,30,1.8,730,2,1,3,2,4800,
WO-00073,Calibration – Piping/Pipeline Segment PPL-0025,PPL-0025,PPL,Unit-100,2019-01-06,2825,Calibration,High,False,2243.11,0.8,6.8,11.0,0.6,19.200000000000003,2,2.0,3285,4,4,3,3,88000,WO-00039
WO-00074,Calibration – Instrument/Analyser INST-0169,INST-0169,INST,Flare-System,2022-06-18,1566,Calibration,Medium,False,1621.58,1.9,5.4,4.3,0.2,11.8,1,1.8,730,2,1,3,2,4800,
WO-00075,Cleaning – Instrument/Analyser INST-0146,INST-0146,INST,Offsites,2021-07-27,1892,Cleaning,Medium,False,14257.23,21.1,0.5,1.3,7.6,30.5,4,1.8,730,2,1,3,2,4800,
WO-00076,Overhaul – Instrument/Analyser INST-0177,INST-0177,INST,Flare-System,2021-10-15,1812,Overhaul,High,False,119671.0,122.8,41.0,46.2,15.9,225.9,28,1.8,730,2,1,3,2,4800,
WO-00077,Calibration – Heat Exchanger HX-0021,HX-0021,HX,Unit-100,2014-03-11,4587,Calibration,Critical,True,2272.41,0.7,8.6,5.2,0.0,14.5,2,2.0,2190,4,3,5,4,195000,
WO-00078,Inspection – Pressure Vessel VSL-0027,VSL-0027,VSL,Unit-200,2013-01-04,5018,Inspection,Critical,False,7104.07,5.4,0.5,2.7,0.4,9.000000000000002,1,2.8,3650,5,5,5,5,290000,
WO-00079,Inspection – Instrument/Analyser INST-0073,INST-0073,INST,Unit-100,2015-03-09,4224,Inspection,Low,False,5453.77,3.1,1.6,1.8,0.7,7.2,1,1.8,730,2,1,3,2,4800,WO-00052
WO-00080,Inspection – Reciprocating Compressor CMP-0015,CMP-0015,CMP,Tank-Farm,2023-08-10,1148,Inspection,Critical,True,1241.92,9.6,0.9,3.5,0.0,14.0,2,3.0,1460,5,4,5,5,490000,
WO-00081,Overhaul – Centrifugal Pump PMP-0074,PMP-0074,PMP,Flare-System,2019-05-17,2694,Overhaul,Critical,True,533437.71,94.3,40.6,35.8,6.3,177.0,22,2.5,1825,3,2,4,3,48000,
WO-00082,Replacement – Heat Exchanger HX-0005,HX-0005,HX,Offsites,2021-02-19,2050,Replacement,High,False,55890.67,41.0,9.8,8.9,7.3,67.0,8,2.0,2190,4,3,5,4,195000,
WO-00083,Overhaul – Electrical Equipment ELEC-0019,ELEC-0019,ELEC,Unit-200,2021-07-11,1908,Overhaul,High,False,339335.46,84.4,36.6,24.3,11.3,156.60000000000002,20,2.0,1460,3,1,3,3,24000,
WO-00084,Cleaning – Instrument/Analyser INST-0117,INST-0117,INST,Flare-System,2021-09-20,1837,Cleaning,Medium,False,15463.95,12.2,1.7,1.7,2.9,18.499999999999996,2,1.8,730,2,1,3,2,4800,
WO-00085,Replacement – Control Valve VLV-0043,VLV-0043,VLV,Unit-300,2023-09-27,1100,Replacement,Medium,False,119967.21,19.7,7.0,12.8,3.4,42.9,5,1.5,1095,3,2,3,2,13500,
WO-00086,Overhaul – Instrument/Analyser INST-0167,INST-0167,INST,Tank-Farm,2018-03-09,3128,Overhaul,High,False,144214.12,141.3,45.3,41.3,14.0,241.90000000000003,30,1.8,730,2,1,3,2,4800,
WO-00087,Inspection – Instrument/Analyser INST-0141,INST-0141,INST,Unit-100,2020-02-20,2415,Inspection,Medium,False,7100.03,7.7,1.1,4.5,0.1,13.4,2,1.8,730,2,1,3,2,4800,
WO-00088,Replacement – Electrical Equipment ELEC-0036,ELEC-0036,ELEC,Unit-300,2025-02-01,607,Replacement,Low,False,18866.41,32.2,9.0,22.8,3.9,67.9,8,2.0,1460,3,1,3,3,24000,
WO-00089,Calibration – Storage Tank TNK-0009,TNK-0009,TNK,Unit-200,2012-04-19,5278,Calibration,Critical,False,2070.19,1.8,5.3,10.2,0.2,17.499999999999996,2,3.5,5475,4,5,3,4,390000,
WO-00090,Repair – Electrical Equipment ELEC-0077,ELEC-0077,ELEC,Offsites,2014-01-19,4638,Repair,High,False,39001.81,39.4,9.6,10.7,7.4,67.10000000000001,8,2.0,1460,3,1,3,3,24000,
WO-00091,Calibration – Heat Exchanger HX-0033,HX-0033,HX,Unit-200,2021-04-25,1985,Calibration,Critical,True,1963.41,1.6,4.0,14.1,0.2,19.9,2,2.0,2190,4,3,5,4,195000,
WO-00092,Calibration – Electrical Equipment ELEC-0007,ELEC-0007,ELEC,Offsites,2012-05-21,5246,Calibration,Low,False,1968.67,0.4,8.9,4.9,0.6,14.8,2,2.0,1460,3,1,3,3,24000,WO-00053
WO-00093,Cleaning – Control Valve VLV-0112,VLV-0112,VLV,Unit-200,2014-12-02,4321,Cleaning,High,False,20216.12,18.3,1.6,1.3,7.5,28.700000000000003,4,1.5,1095,3,2,3,2,13500,
WO-00094,Calibration – Control Valve VLV-0119,VLV-0119,VLV,Flare-System,2019-08-17,2602,Calibration,High,False,866.15,2.0,3.8,7.8,0.9,14.5,2,1.5,1095,3,2,3,2,13500,
WO-00095,Replacement – Instrument/Analyser INST-0111,INST-0111,INST,Flare-System,2014-10-23,4361,Replacement,High,False,87183.62,16.3,4.9,13.7,3.2,38.10000000000001,5,1.8,730,2,1,3,2,4800,
WO-00096,Inspection – Instrument/Analyser INST-0083,INST-0083,INST,Tank-Farm,2016-10-30,3623,Inspection,Critical,True,3341.33,4.5,0.1,3.5,0.6,8.7,1,1.8,730,2,1,3,2,4800,
WO-00097,Replacement – Pressure Vessel VSL-0009,VSL-0009,VSL,Unit-100,2017-07-10,3370,Replacement,Medium,False,105372.64,38.3,9.4,13.3,2.9,63.9,8,2.8,3650,5,5,5,5,290000,
WO-00098,Repair – Piping/Pipeline Segment PPL-0045,PPL-0045,PPL,Unit-100,2015-02-13,4248,Repair,Critical,True,73031.8,28.6,12.1,4.9,3.8,49.4,6,2.0,3285,4,4,3,3,88000,
WO-00099,Cleaning – Heat Exchanger HX-0029,HX-0029,HX,Unit-200,2022-07-13,1541,Cleaning,Medium,False,5551.51,26.1,0.2,0.0,8.8,35.1,4,2.0,2190,4,3,5,4,195000,
WO-00100,Replacement – Centrifugal Pump PMP-0061,PMP-0061,PMP,Utilities,2023-08-15,1143,Replacement,High,False,73482.47,19.6,5.0,13.4,4.2,42.2,5,2.5,1825,3,2,4,3,48000,
WO-00101,Replacement – Centrifugal Pump PMP-0019,PMP-0019,PMP,Utilities,2025-02-20,588,Replacement,Medium,False,81236.69,47.9,5.0,4.9,5.0,62.8,8,2.5,1825,3,2,4,3,48000,
WO-00102,Cleaning – Electrical Equipment ELEC-0035,ELEC-0035,ELEC,Offsites,2023-08-25,1133,Cleaning,Medium,False,17845.16,13.7,0.5,1.1,3.6,18.9,2,2.0,1460,3,1,3,3,24000,
WO-00103,Inspection – Pressure Vessel VSL-0001,VSL-0001,VSL,Tank-Farm,2018-01-06,3190,Inspection,Low,False,2755.35,6.1,1.0,3.4,0.4,10.9,1,2.8,3650,5,5,5,5,290000,
WO-00104,Repair – Pressure Vessel VSL-0020,VSL-0020,VSL,Offsites,2024-04-06,908,Repair,Critical,True,70570.85,65.9,20.5,13.0,4.9,104.30000000000001,13,2.8,3650,5,5,5,5,290000,
WO-00105,Cleaning – Instrument/Analyser INST-0112,INST-0112,INST,Unit-100,2013-08-16,4794,Cleaning,Medium,False,1612.76,4.2,1.7,0.1,6.2,12.2,2,1.8,730,2,1,3,2,4800,
WO-00106,Inspection – Pressure Vessel VSL-0019,VSL-0019,VSL,Unit-200,2014-01-16,4641,Inspection,Critical,False,7228.41,3.5,1.8,4.1,0.2,9.599999999999998,1,2.8,3650,5,5,5,5,290000,
WO-00107,Replacement – Instrument/Analyser INST-0065,INST-0065,INST,Unit-200,2018-05-28,3048,Replacement,High,False,50764.32,20.8,20.0,8.6,8.5,57.9,7,1.8,730,2,1,3,2,4800,WO-00038
WO-00108,Testing – Centrifugal Pump PMP-0037,PMP-0037,PMP,Unit-200,2015-11-20,3968,Testing,Critical,True,3770.09,9.6,15.2,6.4,1.6,32.8,4,2.5,1825,3,2,4,3,48000,
