wo_id,description,asset_tag,asset_class,area,install_date,age_days,task_type,priority,mandatory,estimated_cost_usd,mech_hours,elec_hours,inst_hours,civil_hours,total_craft_hours,duration_days,weibull_beta,weibull_eta,c_safety,c_env,c_prod,c_cost,replace_usd,predecessor_wo_id
WO-00109,Cleaning – Heat Exchanger HX-0018,HX-0018,HX,Unit-200,2021-02-10,2059,Cleaning,Critical,True,14191.21,18.5,0.1,0.3,3.3,22.200000000000003,3,2.0,2190,4,3,5,4,195000,
WO-00110,Inspection – Piping/Pipeline Segment PPL-0003,PPL-0003,PPL,Utilities,2015-05-08,4164,Inspection,High,False,7422.22,6.1,1.2,2.4,0.3,10.0,1,2.0,3285,4,4,3,3,88000,
WO-00111,Replacement – Pressure Vessel VSL-0028,VSL-0028,VSL,Flare-System,2016-07-27,3718,Replacement,High,False,44519.28,31.5,11.1,23.7,3.0,69.3,9,2.8,3650,5,5,5,5,290000,
WO-00112,Inspection – Heat Exchanger HX-0025,HX-0025,HX,Unit-200,2021-10-25,1802,Inspection,Critical,False,3189.99,7.7,0.3,3.3,0.4,11.700000000000001,1,2.0,2190,4,3,5,4,195000,
WO-00113,Testing – Control Valve VLV-0098,VLV-0098,VLV,Flare-System,2014-08-17,4428,Testing,Medium,False,6497.25,16.1,12.3,22.7,0.6,51.7,6,1.5,1095,3,2,3,2,13500,
WO-00114,Calibration – Control Valve VLV-0076,VLV-0076,VLV,Unit-300,2022-07-01,1553,Calibration,Medium,False,1162.27,0.7,10.0,12.9,0.7,24.3,3,1.5,1095,3,2,3,2,13500,
WO-00115,Repair – Control Valve VLV-0038,VLV-0038,VLV,Tank-Farm,2015-04-25,4177,Repair,Low,False,69222.36,59.8,11.7,2.4,6.5,80.4,10,1.5,1095,3,2,3,2,13500,
WO-00116,Overhaul – Control Valve VLV-0050,VLV-0050,VLV,Utilities,2017-06-25,3385,Overhaul,Medium,False,111353.09,97.6,29.4,43.1,7.4,177.5,22,1.5,1095,3,2,3,2,13500,
WO-00117,Calibration – Instrument/Analyser INST-0162,INST-0162,INST,Utilities,2022-12-04,1397,Calibration,Critical,False,2820.93,0.2,9.4,13.6,0.8,24.0,3,1.8,730,2,1,3,2,4800,
WO-00118,Overhaul – Centrifugal Pump PMP-0067,PMP-0067,PMP,Unit-300,2012-04-17,5280,Overhaul,Critical,True,379238.36,101.4,26.1,31.3,15.1,173.9,22,2.5,1825,3,2,4,3,48000,
WO-00119,Overhaul – Control Valve VLV-0060,VLV-0060,VLV,Flare-System,2018-06-04,3041,Overhaul,High,False,140083.62,223.3,49.0,20.6,7.5,300.40000000000003,38,1.5,1095,3,2,3,2,13500,
WO-00120,Overhaul – Distillation Tower TWR-0011,TWR-0011,TWR,Unit-100,2018-09-10,2943,Overhaul,Medium,False,526585.78,140.0,10.3,9.7,8.5,168.5,21,2.2,2920,5,5,5,5,980000,WO-00098
WO-00121,Cleaning – Instrument/Analyser INST-0044,INST-0044,INST,Unit-200,2018-06-22,3023,Cleaning,Low,False,14510.99,11.7,1.9,0.7,8.7,23.0,3,1.8,730,2,1,3,2,4800,
WO-00122,Overhaul – Electrical Equipment ELEC-0076,ELEC-0076,ELEC,Unit-300,2021-08-17,1871,Overhaul,High,False,538159.22,95.4,35.7,11.7,13.5,156.3,20,2.0,1460,3,1,3,3,24000,
WO-00123,Inspection – Storage Tank TNK-0018,TNK-0018,TNK,Tank-Farm,2017-10-11,3277,Inspection,Low,False,627.57,4.6,1.2,2.8,0.3,8.9,1,3.5,5475,4,5,3,4,390000,
WO-00124,Testing – Control Valve VLV-0053,VLV-0053,VLV,Utilities,2013-07-05,4836,Testing,Medium,False,2321.97,9.5,17.0,18.7,0.7,45.900000000000006,6,1.5,1095,3,2,3,2,13500,
WO-00125,Inspection – Instrument/Analyser INST-0043,INST-0043,INST,Flare-System,2018-09-15,2938,Inspection,High,False,3055.41,7.7,1.3,4.3,0.0,13.3,2,1.8,730,2,1,3,2,4800,
WO-00126,Inspection – Centrifugal Pump PMP-0014,PMP-0014,PMP,Offsites,2015-02-23,4238,Inspection,Critical,True,2021.65,2.0,1.0,3.1,0.7,6.8,1,2.5,1825,3,2,4,3,48000,
WO-00127,Inspection – Instrument/Analyser INST-0092,INST-0092,INST,Unit-300,2013-01-10,5012,Inspection,Low,False,5586.79,2.4,1.7,1.1,0.5,5.699999999999999,1,1.8,730,2,1,3,2,4800,
WO-00128,Cleaning – Heat Exchanger HX-0016,HX-0016,HX,Flare-System,2017-10-02,3286,Cleaning,Low,False,15602.0,20.4,0.2,1.3,9.0,30.9,4,2.0,2190,4,3,5,4,195000,
WO-00129,Overhaul – Centrifugal Pump PMP-0046,PMP-0046,PMP,Unit-300,2025-04-27,522,Overhaul,Critical,False,216535.34,190.7,30.8,18.8,7.4,247.70000000000002,31,2.5,1825,3,2,4,3,48000,
WO-00130,Overhaul – Instrument/Analyser INST-0126,INST-0126,INST,Unit-200,2024-07-25,798,Overhaul,Critical,False,114522.78,43.9,10.2,47.1,5.5,106.69999999999999,13,1.8,730,2,1,3,2,4800,WO-00048
WO-00131,Overhaul – Heat Exchanger HX-0031,HX-0031,HX,Unit-300,2020-07-24,2260,Overhaul,Critical,False,158383.67,232.5,46.3,25.0,13.0,316.8,40,2.0,2190,4,3,5,4,195000,
WO-00132,Inspection – Instrument/Analyser INST-0005,INST-0005,INST,Offsites,2012-01-15,5373,Inspection,High,False,2767.07,3.0,0.2,3.2,0.1,6.5,1,1.8,730,2,1,3,2,4800,
WO-00133,Overhaul – Centrifugal Pump PMP-0063,PMP-0063,PMP,Unit-200,2020-06-02,2312,Overhaul,Medium,False,273735.18,67.5,8.2,16.1,8.7,100.50000000000001,13,2.5,1825,3,2,4,3,48000,WO-00065
WO-00134,Repair – Instrument/Analyser INST-0172,INST-0172,INST,Unit-200,2015-05-14,4158,Repair,High,False,33663.66,45.3,22.5,13.3,2.7,83.8,10,1.8,730,2,1,3,2,4800,
WO-00135,Overhaul – Electrical Equipment ELEC-0004,ELEC-0004,ELEC,Utilities,2014-09-25,4389,Overhaul,Medium,False,345424.59,67.7,20.3,20.8,9.2,118.0,15,2.0,1460,3,1,3,3,24000,
WO-00136,Cleaning – Instrument/Analyser INST-0066,INST-0066,INST,Offsites,2023-06-18,1201,Cleaning,Critical,False,13225.36,8.8,0.2,1.6,5.8,16.4,2,1.8,730,2,1,3,2,4800,
WO-00137,Replacement – Electrical Equipment ELEC-0048,ELEC-0048,ELEC,Unit-200,2022-03-12,1664,Replacement,Medium,False,97463.88,47.1,17.8,16.0,4.8,85.7,11,2.0,1460,3,1,3,3,24000,WO-00091
WO-00138,Inspection – Pressure Vessel VSL-0020,VSL-0020,VSL,Offsites,2024-04-06,908,Inspection,Critical,True,5415.91,6.7,0.3,4.5,0.4,11.9,1,2.8,3650,5,5,5,5,290000,
WO-00139,Replacement – Reciprocating Compressor CMP-0002,CMP-0002,CMP,Utilities,2023-06-13,1206,Replacement,Medium,False,105033.52,55.7,10.8,23.1,8.9,98.5,12,3.0,1460,5,4,5,5,490000,
WO-00140,Repair – Heat Exchanger HX-0015,HX-0015,HX,Utilities,2018-11-20,2872,Repair,Medium,False,31786.28,77.6,19.0,15.0,2.6,114.19999999999999,14,2.0,2190,4,3,5,4,195000,
WO-00141,Testing – Control Valve VLV-0004,VLV-0004,VLV,Unit-200,2025-07-22,436,Testing,Medium,False,4888.62,19.8,11.6,8.0,0.2,39.6,5,1.5,1095,3,2,3,2,13500,
WO-00142,Cleaning – Reciprocating Compressor CMP-0010,CMP-0010,CMP,Flare-System,2020-07-10,2274,Cleaning,High,False,8371.15,18.6,0.7,0.9,8.9,29.1,4,3.0,1460,5,4,5,5,490000,
WO-00143,Calibration – Control Valve VLV-0069,VLV-0069,VLV,Unit-100,2018-04-02,3104,Calibration,Medium,False,1833.78,2.0,3.9,8.2,0.1,14.2,2,1.5,1095,3,2,3,2,13500,
WO-00144,Cleaning – Control Valve VLV-0001,VLV-0001,VLV,Unit-300,2014-11-16,4337,Cleaning,High,False,18423.08,12.1,0.0,1.3,10.0,23.4,3,1.5,1095,3,2,3,2,13500,
WO-00145,Inspection – Instrument/Analyser INST-0076,INST-0076,INST,Unit-200,2023-03-22,1289,Inspection,High,False,2685.08,5.4,0.5,2.4,0.6,8.9,1,1.8,730,2,1,3,2,4800,
WO-00146,Replacement – Heat Exchanger HX-0013,HX-0013,HX,Unit-100,2014-10-20,4364,Replacement,High,False,9603.6,55.7,9.3,10.6,1.8,77.39999999999999,10,2.0,2190,4,3,5,4,195000,
WO-00147,Repair – Instrument/Analyser INST-0095,INST-0095,INST,Utilities,2018-04-26,3080,Repair,Medium,False,5209.95,21.4,7.8,12.8,9.3,51.3,6,1.8,730,2,1,3,2,4800,
WO-00148,Replacement – Control Valve VLV-0076,VLV-0076,VLV,Unit-300,2022-07-01,1553,Replacement,Medium,False,93071.68,46.6,6.4,7.2,4.2,64.4,8,1.5,1095,3,2,3,2,13500,
WO-00149,Calibration – Instrument/Analyser INST-0135,INST-0135,INST,Tank-Farm,2014-07-19,4457,Calibration,Low,False,2064.39,1.7,4.2,9.4,0.0,15.3,2,1.8,730,2,1,3,2,4800,
WO-00150,Cleaning – Instrument/Analyser INST-0027,INST-0027,INST,Offsites,2019-12-28,2469,Cleaning,High,False,8154.94,5.7,1.4,1.5,7.3,15.899999999999999,2,1.8,730,2,1,3,2,4800,
WO-00151,Repair – Storage Tank TNK-0006,TNK-0006,TNK,Unit-100,2013-04-21,4911,Repair,High,False,60746.33,68.5,20.9,18.3,9.4,117.10000000000001,15,3.5,5475,4,5,3,4,390000,
WO-00152,Overhaul – Pressure Vessel VSL-0022,VSL-0022,VSL,Offsites,2016-08-27,3687,Overhaul,Low,False,227784.38,203.8,35.1,11.2,6.8,256.9,32,2.8,3650,5,5,5,5,290000,
WO-00153,Repair – Control Valve VLV-0051,VLV-0051,VLV,Offsites,2020-03-30,2376,Repair,High,False,76242.93,47.4,24.4,16.9,3.8,92.49999999999999,12,1.5,1095,3,2,3,2,13500,
WO-00154,Testing – Instrument/Analyser INST-0075,INST-0075,INST,Utilities,2023-08-24,1134,Testing,Medium,False,938.18,12.8,17.0,17.6,0.5,47.900000000000006,6,1.8,730,2,1,3,2,4800,WO-00025
WO-00155,Replacement – Instrument/Analyser INST-0118,INST-0118,INST,Flare-System,2015-06-27,4114,Replacement,High,False,100339.4,19.4,14.5,19.7,2.7,56.3,7,1.8,730,2,1,3,2,4800,WO-00145
WO-00156,Calibration – Pressure Vessel VSL-0021,VSL-0021,VSL,Flare-System,2016-06-09,3766,Calibration,Critical,True,440.8,0.4,5.6,18.9,0.6,25.5,3,2.8,3650,5,5,5,5,290000,
WO-00157,Testing – Instrument/Analyser INST-0056,INST-0056,INST,Unit-200,2023-08-09,1149,Testing,Medium,False,7223.81,9.8,12.2,10.2,0.7,32.900000000000006,4,1.8,730,2,1,3,2,4800,
WO-00158,Inspection – Instrument/Analyser INST-0001,INST-0001,INST,Offsites,2013-11-04,4714,Inspection,Medium,False,5645.44,3.6,0.8,1.6,0.6,6.6,1,1.8,730,2,1,3,2,4800,
WO-00159,Replacement – Control Valve VLV-0058,VLV-0058,VLV,Unit-200,2019-12-05,2492,Replacement,High,False,23792.91,19.8,16.7,9.4,8.0,53.9,7,1.5,1095,3,2,3,2,13500,WO-00011
WO-00160,Inspection – Control Valve VLV-0063,VLV-0063,VLV,Flare-System,2024-05-13,871,Inspection,High,False,5982.08,5.7,0.1,4.8,0.1,10.7,1,1.5,1095,3,2,3,2,13500,
WO-00161,Replacement – Storage Tank TNK-0008,TNK-0008,TNK,Offsites,2023-08-30,1128,Replacement,Low,False,61284.44,48.8,2.1,22.6,6.8,80.3,10,3.5,5475,4,5,3,4,390000,
WO-00162,Calibration – Instrument/Analyser INST-0128,INST-0128,INST,Utilities,2012-10-24,5090,Calibration,Medium,False,2797.95,1.2,4.9,11.1,0.7,17.9,2,1.8,730,2,1,3,2,4800,
WO-00163,Calibration – Centrifugal Pump PMP-0060,PMP-0060,PMP,Unit-200,2018-09-28,2925,Calibration,Critical,True,457.17,1.7,3.6,19.1,0.2,24.6,3,2.5,1825,3,2,4,3,48000,
WO-00164,Calibration – Piping/Pipeline Segment PPL-0022,PPL-0022,PPL,Unit-200,2018-06-13,3032,Calibration,Critical,True,2492.37,1.5,9.7,8.3,0.8,20.3,3,2.0,3285,4,4,3,3,88000,
WO-00165,Cleaning – Instrument/Analyser INST-0151,INST-0151,INST,Unit-300,2015-09-17,4032,Cleaning,Low,False,11694.4,4.1,1.1,1.5,3.4,10.1,1,1.8,730,2,1,3,2,4800,
WO-00166,Cleaning – Centrifugal Pump PMP-0032,PMP-0032,PMP,Unit-300,2021-09-19,1838,Cleaning,Critical,True,5277.9,19.5,0.4,0.1,7.5,27.5,3,2.5,1825,3,2,4,3,48000,
WO-00167,Inspection – Instrument/Analyser INST-0161,INST-0161,INST,Unit-300,2024-10-23,708,Inspection,Medium,False,6075.58,2.4,1.6,4.2,0.1,8.299999999999999,1,1.8,730,2,1,3,2,4800,
WO-00168,Inspection – Instrument/Analyser INST-0075,INST-0075,INST,Utilities,2023-08-24,1134,Inspection,High,False,5281.03,2.5,1.9,1.8,0.7,6.9,1,1.8,730,2,1,3,2,4800,
WO-00169,Replacement – Storage Tank TNK-0013,TNK-0013,TNK,Flare-System,2019-03-07,2765,Replacement,Critical,True,56859.21,37.8,20.0,4.5,1.0,63.3,8,3.5,5475,4,5,3,4,390000,
WO-00170,Replacement – Instrument/Analyser INST-0012,INST-0012,INST,Offsites,2012-01-16,5372,Replacement,Medium,False,106641.28,55.5,17.8,6.9,4.7,84.9,11,1.8,730,2,1,3,2,4800,
WO-00171,Replacement – Instrument/Analyser INST-0031,INST-0031,INST,Unit-100,2019-11-24,2503,Replacement,Low,False,81272.37,20.3,7.8,21.2,3.3,52.599999999999994,7,1.8,730,2,1,3,2,4800,WO-00103
WO-00172,Replacement – Control Valve VLV-0064,VLV-0064,VLV,Tank-Farm,2013-12-13,4675,Replacement,Medium,False,7705.73,21.3,5.1,14.1,2.0,42.5,5,1.5,1095,3,2,3,2,13500,
WO-00173,Repair – Control Valve VLV-0068,VLV-0068,VLV,Tank-Farm,2014-11-08,4345,Repair,High,False,30276.47,23.5,14.4,16.1,6.3,60.3,8,1.5,1095,3,2,3,2,13500,
WO-00174,Cleaning – Instrument/Analyser INST-0092,INST-0092,INST,Unit-300,2013-01-10,5012,Cleaning,High,False,12234.05,11.9,0.2,2.0,3.4,17.5,2,1.8,730,2,1,3,2,4800,
WO-00175,Inspection – Electrical Equipment ELEC-0043,ELEC-0043,ELEC,Offsites,2013-11-13,4705,Inspection,High,False,4819.43,5.5,0.5,2.7,0.7,9.399999999999999,1,2.0,1460,3,1,3,3,24000,
WO-00176,Repair – Electrical Equipment ELEC-0082,ELEC-0082,ELEC,Utilities,2018-01-03,3193,Repair,Low,False,25895.01,26.2,28.8,16.6,4.1,75.69999999999999,9,2.0,1460,3,1,3,3,24000,
WO-00177,Overhaul – Electrical Equipment ELEC-0008,ELEC-0008,ELEC,Flare-System,2018-07-30,2985,Overhaul,High,False,217850.21,207.9,39.6,20.5,16.1,284.1,36,2.0,1460,3,1,3,3,24000,WO-00015
WO-00178,Inspection – Instrument/Analyser INST-0087,INST-0087,INST,Unit-300,2018-03-16,3121,Inspection,High,False,7717.44,6.4,1.2,3.4,0.6,11.6,1,1.8,730,2,1,3,2,4800,
WO-00179,Testing – Instrument/Analyser INST-0019,INST-0019,INST,Offsites,2012-08-04,5171,Testing,High,False,9514.19,14.1,13.1,9.8,0.1,37.1,5,1.8,730,2,1,3,2,4800,
WO-00180,Inspection – Control Valve VLV-0079,VLV-0079,VLV,Unit-300,2016-02-27,3869,Inspection,High,False,5499.45,9.0,0.6,2.3,0.7,12.599999999999998,2,1.5,1095,3,2,3,2,13500,WO-00168
WO-00181,Testing – Electrical Equipment ELEC-0006,ELEC-0006,ELEC,Unit-300,2024-04-29,885,Testing,Medium,False,5775.78,3.8,7.5,22.7,0.5,34.5,4,2.0,1460,3,1,3,3,24000,
WO-00182,Inspection – Control Valve VLV-0066,VLV-0066,VLV,Offsites,2014-07-13,4463,Inspection,Low,False,2036.35,9.0,0.3,1.1,0.5,10.9,1,1.5,1095,3,2,3,2,13500,
WO-00183,Replacement – Control Valve VLV-0034,VLV-0034,VLV,Unit-100,2019-10-17,2541,Replacement,Medium,False,19738.66,59.1,14.2,21.0,7.8,102.1,13,1.5,1095,3,2,3,2,13500,
WO-00184,Replacement – Electrical Equipment ELEC-0068,ELEC-0068,ELEC,Flare-System,2025-09-11,385,Replacement,High,False,42299.1,45.3,14.9,23.0,6.1,89.29999999999998,11,2.0,1460,3,1,3,3,24000,
WO-00185,Overhaul – Instrument/Analyser INST-0075,INST-0075,INST,Utilities,2023-08-24,1134,Overhaul,Medium,False,374022.58,125.3,41.2,32.6,4.2,203.29999999999998,25,1.8,730,2,1,3,2,4800,
WO-00186,Cleaning – Control Valve VLV-0088,VLV-0088,VLV,Unit-100,2015-06-21,4120,Cleaning,Critical,True,22966.27,13.9,1.1,0.9,6.3,22.2,3,1.5,1095,3,2,3,2,13500,
WO-00187,Repair – Electrical Equipment ELEC-0067,ELEC-0067,ELEC,Utilities,2011-11-17,5432,Repair,Medium,False,73012.16,58.4,18.5,3.0,6.4,86.30000000000001,11,2.0,1460,3,1,3,3,24000,
WO-00188,Calibration – Piping/Pipeline Segment PPL-0022,PPL-0022,PPL,Unit-200,2018-06-13,3032,Calibration,Critical,True,331.95,1.4,4.3,14.4,0.6,20.700000000000003,3,2.0,3285,4,4,3,3,88000,
WO-00189,Overhaul – Control Valve VLV-0066,VLV-0066,VLV,Offsites,2014-07-13,4463,Overhaul,Medium,False,503845.46,161.1,10.9,26.6,10.2,208.79999999999998,26,1.5,1095,3,2,3,2,13500,WO-00126
WO-00190,Cleaning – Instrument/Analyser INST-0032,INST-0032,INST,Unit-200,2019-02-13,2787,Cleaning,High,False,1249.55,18.6,1.5,1.5,2.5,24.1,3,1.8,730,2,1,3,2,4800,
WO-00191,Overhaul – Instrument/Analyser INST-0009,INST-0009,INST,Flare-System,2015-10-29,3990,Overhaul,High,False,120166.45,124.1,11.0,12.8,17.4,165.3,21,1.8,730,2,1,3,2,4800,
WO-00192,Calibration – Instrument/Analyser INST-0145,INST-0145,INST,Unit-300,2013-10-24,4725,Calibration,High,False,334.7,1.1,5.1,16.8,0.8,23.8,3,1.8,730,2,1,3,2,4800,
WO-00193,Cleaning – Piping/Pipeline Segment PPL-0015,PPL-0015,PPL,Unit-300,2023-06-22,1197,Cleaning,Medium,False,6461.17,17.9,0.2,0.9,3.5,22.499999999999996,3,2.0,3285,4,4,3,3,88000,
WO-00194,Overhaul – Instrument/Analyser INST-0049,INST-0049,INST,Tank-Farm,2024-12-22,648,Overhaul,Medium,False,360602.64,112.1,20.1,16.5,22.2,170.89999999999998,21,1.8,730,2,1,3,2,4800,WO-00142
WO-00195,Inspection – Electrical Equipment ELEC-0025,ELEC-0025,ELEC,Utilities,2021-02-02,2067,Inspection,High,False,6125.76,5.3,0.0,3.1,0.1,8.5,1,2.0,1460,3,1,3,3,24000,
WO-00196,Calibration – Instrument/Analyser INST-0079,INST-0079,INST,Unit-300,2018-11-23,2869,Calibration,Low,False,920.0,1.8,7.3,17.3,0.6,27.0,3,1.8,730,2,1,3,2,4800,
WO-00197,Replacement – Electrical Equipment ELEC-0080,ELEC-0080,ELEC,Tank-Farm,2013-07-11,4830,Replacement,Medium,False,68151.17,34.8,18.3,7.3,6.2,66.6,8,2.0,1460,3,1,3,3,24000,WO-00164
WO-00198,Replacement – Control Valve VLV-0120,VLV-0120,VLV,Unit-100,2020-05-22,2323,Replacement,Critical,True,104771.88,27.4,5.1,15.7,4.8,53.0,7,1.5,1095,3,2,3,2,13500,
WO-00199,Inspection – Control Valve VLV-0108,VLV-0108,VLV,Tank-Farm,2012-09-21,5123,Inspection,Medium,False,2045.05,8.2,1.8,3.2,0.1,13.299999999999999,2,1.5,1095,3,2,3,2,13500,
WO-00200,Repair – Pressure Vessel VSL-0011,VSL-0011,VSL,Unit-100,2019-05-25,2686,Repair,Critical,False,60459.26,34.8,7.2,18.2,8.7,68.9,9,2.8,3650,5,5,5,5,290000,
WO-00201,Repair – Piping/Pipeline Segment PPL-0043,PPL-0043,PPL,Tank-Farm,2021-08-11,1877,Repair,Low,False,9582.59,13.8,23.7,11.7,4.7,53.900000000000006,7,2.0,3285,4,4,3,3,88000,
WO-00202,Repair – Instrument/Analyser INST-0088,INST-0088,INST,Flare-System,2021-01-06,2094,Repair,Medium,False,6494.63,64.7,24.1,11.9,9.8,110.50000000000001,14,1.8,730,2,1,3,2,4800,
WO-00203,Inspection – Heat Exchanger HX-0016,HX-0016,HX,Flare-System,2017-10-02,3286,Inspection,Medium,False,2067.41,8.6,2.0,1.4,0.1,12.1,2,2.0,2190,4,3,5,4,195000,
WO-00204,Inspection – Centrifugal Pump PMP-0026,PMP-0026,PMP,Utilities,2022-07-30,1524,Inspection,Critical,False,1107.34,9.1,1.6,4.5,0.7,15.899999999999999,2,2.5,1825,3,2,4,3,48000,
WO-00205,Repair – Instrument/Analyser INST-0031,INST-0031,INST,Unit-100,2019-11-24,2503,Repair,High,False,25300.43,33.3,27.0,14.3,9.1,83.69999999999999,10,1.8,730,2,1,3,2,4800,
WO-00206,Testing – Electrical Equipment ELEC-0029,ELEC-0029,ELEC,Unit-300,2022-05-11,1604,Testing,Medium,False,9384.76,14.0,22.3,11.6,1.4,49.3,6,2.0,1460,3,1,3,3,24000,
WO-00207,Calibration – Instrument/Analyser INST-0006,INST-0006,INST,Utilities,2017-03-13,3489,Calibration,Low,False,2711.44,1.4,2.5,6.9,1.0,11.8,1,1.8,730,2,1,3,2,4800,
WO-00208,Testing – Instrument/Analyser INST-0057,INST-0057,INST,Offsites,2024-01-29,976,Testing,Medium,False,1033.59,8.9,19.2,19.1,0.2,47.400000000000006,6,1.8,730,2,1,3,2,4800,
WO-00209,Inspection – Electrical Equipment ELEC-0025,ELEC-0025,ELEC,Utilities,2021-02-02,2067,Inspection,Medium,False,4249.75,3.9,0.1,1.3,0.9,6.2,1,2.0,1460,3,1,3,3,24000,
WO-00210,Testing – Instrument/Analyser INST-0029,INST-0029,INST,Unit-200,2017-07-09,3371,Testing,Medium,False,7314.85,9.4,11.2,16.3,0.7,37.60000000000001,5,1.8,730,2,1,3,2,4800,
WO-00211,Calibration – Storage Tank TNK-0009,TNK-0009,TNK,Unit-200,2012-04-19,5278,Calibration,Medium,False,2652.36,0.5,6.2,7.6,0.0,14.3,2,3.5,5475,4,5,3,4,390000,WO-00206
WO-00212,Cleaning – Instrument/Analyser INST-0105,INST-0105,INST,Unit-200,2015-12-01,3957,Cleaning,Low,False,18374.25,6.1,2.0,2.0,5.7,15.8,2,1.8,730,2,1,3,2,4800,
WO-00213,Replacement – Instrument/Analyser INST-0163,INST-0163,INST,Unit-100,2019-05-30,2681,Replacement,Low,False,89820.11,53.7,16.7,20.2,5.2,95.80000000000001,12,1.8,730,2,1,3,2,4800,
WO-00214,Calibration – Electrical Equipment ELEC-0014,ELEC-0014,ELEC,Tank-Farm,2018-07-13,3002,Calibration,Low,False,570.86,0.2,8.2,14.0,0.5,22.9,3,2.0,1460,3,1,3,3,24000,
WO-00215,Cleaning – Instrument/Analyser INST-0098,INST-0098,INST,Unit-300,2016-12-04,3588,Cleaning,Medium,False,10507.52,13.9,1.2,1.5,6.5,23.1,3,1.8,730,2,1,3,2,4800,
WO-00216,Calibration – Centrifugal Pump PMP-0032,PMP-0032,PMP,Unit-300,2021-09-19,1838,Calibration,Critical,False,2174.74,1.7,2.5,16.1,0.5,20.8,3,2.5,1825,3,2,4,3,48000,
WO-00217,Calibration – Pressure Vessel VSL-0014,VSL-0014,VSL,Unit-100,2019-07-25,2625,Calibration,Critical,True,2206.31,1.0,8.4,8.8,0.2,18.400000000000002,2,2.8,3650,5,5,5,5,290000,
WO-00218,Overhaul – Heat Exchanger HX-0009,HX-0009,HX,Utilities,2017-08-15,3334,Overhaul,Critical,False,422121.16,209.1,38.3,15.3,11.3,274.0,34,2.0,2190,4,3,5,4,195000,
